Experiment_ID,Date,Model,Dataset_Images,Precision,Recall,F1_Score,Mean_Latency_ms,FPS_Inference,Mean_Temp_C,Max_Temp_C,Mean_CPU_%,Mean_RAM_%,TP,FP,FN,Conf_Th,IoU_Th,Mean_Power_W,Max_Power_W,Total_Energy_kWh,Duration_Secs
yolov11n,2026-05-20 14:17:45,yolov11n.pt,2031,0.9344,0.8252,0.8764,254.49,3.93,64.73,67.5,79.93,21.82,3319,233,703,0.42,0.45,11.7,12.2,0.00172755,531.39
yolov11s,2026-05-20 14:50:18,yolov11s.pt,2031,0.9424,0.832,0.8838,574.01,1.74,68.23,70.8,82.35,24.0,3353,205,677,0.42,0.45,12.47,13.0,0.00409115,1180.86
