model_name,scs,l3_weight_cuts,l3_output_cuts,lcus,weights,ops_per_image,macs_per_image,total_4bit_macs_per_frame,pure_ops_per_image,pure_macs_per_image,power,fps,subclusters_per_target,l3_cuts_per_target,layers_per_target,l2_cuts_per_target_normalized,l2_cuts_used_normalized,profiling_mode,layers,l3_total_cuts,net_input_throughput,gross_input_throughput,net_output_throughput,gross_output_throughput,latency,input_aligners,input_aligners_per_target,apus,apus_per_target,l4_cuts,l4_cuts_per_target,l2_weights,l2_data_usage,l2_cuts_per_target,number_of_devices,number_of_contexts,calibration,transpose,resize_input,normalization,input_conversion,nms,optimization_level,compression_level,compression_rate,hw_arch,stream_fps,optimization_goal_fps,context_switch_configs,l2_cut_size,l3_cut_size,l4_cut_size
yolov11n,512,352,565,222,2582784.0,6378483200.0,3205745600.0,0.0,6376844800.0,3204926400.0,,N/A,512,1024,128,256.0,256.0,post_placement,143,917,136.08 Megabytes/sec,272.17 Megabytes/sec,61.40 Megabytes/sec,197.48 Megabytes/sec,N/A,265,256,222,160,0,28,49408,888960,512,2,2,1500.0,False,False,True,False,True,3,4,N/A,hailo8,,,3326464.00,16384.0,32768.0,131072.0

context_name,csw_scs_mac_util,b8_csw_scs_mac_util, ,lcu_util,l3_util,mapping_util,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,scs_mac_util, ,fps,1/fps (s),drain (s),latency_util,b8_latency_util, ,context_overhead,overhead_util,b8_overhead_util,total_mac_util,b8_total_mac_util,boundary_in_bytes,boundary_out_bytes,inter_context_in_bytes,inter_context_out_bytes,ddr_portals_in_bytes,ddr_portals_out_bytes
contexts_total,0.07705181287578218,0.18369952971161116,,,,0.5030174940052697,0.7494368244895603,0.9092800786542009,0.9906536200015992,0.7786799334597593,0.8638226720389689,0.5345976182929228,0.2289744488538678,,116.12530131284784,0.00861138777419355,N/A,0.33650834519513084,0.8022708674750376,,0.0013663199999999999,0.7144072464207368,0.893547870618497,0.055046373468313425,0.16414432360742948,1228800.0,554400.0,1228800.0,1228800.0,0.0,0.0
yolov11n_context_0,0.07446826731089927,0.1532031894679576,,0.7890625,0.3896484375,0.443359375,0.6441434351346206,0.9550975820892668,0.9943439172610311,0.7625539631880482,0.8458149779735683,0.4812274613662659,0.1804602980123497,,1642.4069473813875,0.0006088625,0.000866605,0.4126573441976865,0.8489578658319251,,0.00075229,,,,,1228800.0,0.0,0.0,1228800.0,0.0,0.0
yolov11n_context_1,0.07901433413695128,0.2142292064708576,,0.9453125,0.505859375,0.556640625,0.848764257730939,0.879088899113384,0.9880284478533347,0.7906501844939531,0.8771929824561403,0.580704629979213,0.2835471826070376,,1847.5153228302088,0.0005412675,0.0014011,0.27866379559995724,0.7555328340812809,,0.00061403,,,,,0.0,554400.0,1228800.0,0.0,0.0,0.0

layer_name,layer_type,input_height,input_width,output_channels,input_channels,kernel_height,kernel_width,strides_row,strides_col,predecessors,successors,weights,macs,power,fps,total cycles,theoretical cycles,scs,apus,input_aligners,of_per_sc,of_per_mac,l3_output_cuts,l2_weights_usage_ratio,groups,dilation_height,dilation_width,16x4_configuration,elementwise_feed_repeat,ew_add_enabled,defuse_mode,node_layer_input_bw,node_layer_output_bw,defuse_name,l3_weight_cuts,l4_cuts,lcus,node_layer_latency,deprecated,output_features_per_sc,mac_computation_utilization,apu_activation_utilization,subcluster_utilization,buffers_num,buffer_size,context,did_reach_fps,latency,l2_weights,ops,l2_data_usage,input_activation_bits,input_range_min,input_range_max,kernel_range_min,kernel_range_max,output_range_min,output_range_max,output_activation_bits,weights_bits,bias_bits,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,is_4bit_enhanced,is_smuffer_in,is_smuffer_out
conv7,conv,160,160,64,64,3,3,2,2,conv6,conv_feature_splitter2_1 conv_feature_splitter2_2,36928.0,236339200,,1895.18,211062,92160,43.0,8.0,8.0,64,1,16.0,,1,1,1,False,,False,combined (SPATIAL_W),13333.290100097656,2666.6580200195312,,40.0,0.0,8.0,0.76452,0,64,0.47773291829020487,0.30268149357289076,0.38391836022991555,188.0,24576,yolov11n_context_0,False,0.0008191775,0,471859200,10240,8,-0.29315733909606934,9.051233291625977,-0.3163759112358093,0.3169853389263153,-0.2818937301635742,6.252915382385254,8,8,16,0.4591549943826777,1.0,1.0,0.8321221578302067,0.9302325581395349,0.38222916451223743,False,False,False
conv_feature_splitter2_1,conv,80,80,32,64,1,1,1,1,conv7,concat2,2080.0,13312000.0,,1750.54,228501,204800.0,1,1,1,32,4,1,0.0,1,1,1,False,,False,,533.3316040039062,266.6658020019531,yolov11n/conv_feature_splitter2_1,1,0,1,0.7633825,0,32,0.9102804660797119,0.11203452199697495,0.8540515994156326,12,2560,yolov11n_context_0,False,0.000826315,0,26214400.0,512,8,-0.2818937301635742,6.252915382385254,-0.7864628434181213,0.9130107164382935,-0.3613738715648651,5.059234142303467,8,8,16,0.9102804660797119,1.0,1.0,0.938229074708986,1.0,0.8540515994156326,False,False,False
conv_feature_splitter2_2,conv,80,80,32,64,1,1,1,1,conv7,conv9 ew_add2 concat2,2080.0,13312000.0,,1750.54,228501,204800.0,1,1,1,32,4,2,0.0,1,1,1,False,,False,,533.3316040039062,266.6658020019531,yolov11n/conv_feature_splitter2_2,1,0,1,0.7633825,0,32,0.9102804660797119,0.11203452199697495,0.8540515994156326,24,2560,yolov11n_context_0,False,0.000826315,0,26214400.0,512,8,-0.2818937301635742,6.252915382385254,-0.5136592388153076,0.5336325168609619,-0.2899204194545746,4.0588860511779785,8,8,16,0.9102804660797119,1.0,1.0,0.938229074708986,1.0,0.8540515994156326,False,False,False
conv9,conv,80,80,16,32,3,3,1,1,conv_feature_splitter2_2,conv10,4624.0,29593600.0,,2397.68,166828,115200.0,4,1,2,4,1,1,0.0,1,1,1,True,,False,,266.6658020019531,133.33290100097656,yolov11n/conv9,2,0,1,0.7655575,0,4,0.7102224826812744,0.07672572880983353,0.48650145287627194,255,128,yolov11n_context_0,False,0.0008356275,0,58982400.0,5120,8,-0.2899204194545746,4.0588860511779785,-0.4834718406200409,0.5006062984466553,-0.2939269542694092,4.390533924102783,8,8,16,0.7102224826812744,1.0,1.0,0.6849986655443553,1.0,0.48650145287627194,False,False,True
conv10,conv,80,80,32,16,3,3,1,1,conv9,ew_add2,4640.0,29696000.0,,2713.63,147404,115200.0,4,1,2,8,2,1,0.0,1,1,1,True,,False,,133.33290100097656,266.6658020019531,yolov11n/conv10,2,0,1,0.7613025,0,8,0.8065588474273682,0.1736723631620407,0.4881644063568695,12,2560,yolov11n_context_0,False,0.0008420175,0,58982400.0,15360,8,-0.2939269542694092,4.390533924102783,-0.5071760416030884,0.5256519913673401,-0.28408852219581604,5.7527923583984375,8,8,16,0.8065588474273682,1.0,1.0,0.6052433841795151,1.0,0.4881644063568695,False,True,False
ew_add2,ew_add,80,80,32,32,,,,,conv_feature_splitter2_2 conv10,concat2,0,102400.0,,5074.92,78819,,1,1,1,32,0,1,0.0,,,,False,,False,,266.6658020019531,0.0,yolov11n/ew_add2,1,0,1,0.74818,0,32,0.6495895385742188,0.3247947692871094,0.21022808039943894,12,2560,yolov11n_context_0,False,0.0008444775,0,204800.0,0,8,N/A,N/A,N/A,N/A,-0.5615938901901245,7.862314701080322,8,8,16,0.6495895385742188,1.0,1.0,0.323632182964134,1.0,0.21022808039943894,False,False,False
concat2,concat,80|80|80,80|80|80,96,32|32|32,,,,,conv_feature_splitter2_1 conv_feature_splitter2_2 ew_add2,conv11,0,0,,4515.13,88591,,1,1,1,96,0,1,1,,,,False,,False,,266.6658020019531,0.0,yolov11n/concat2,0,0,1,0.7546225,0,96,0.8669052124023438,0.8669052124023438,0.3153421325501901,42,768,yolov11n_context_0,False,0.00085338,0,0,0,8,-0.3613738715648651,5.059234142303467,N/A,N/A,-0.5615938901901245,7.862314701080322,8,8,8,0.8669052124023438,1.0,1.0,0.3637561846886613,0.0,0.3153421325501901,False,False,True
conv11,conv,80,80,128,96,1,1,1,1,concat2,conv12 concat11,12416.0,79462400.0,,1762.88,226901,153600.0,8,1,2,16,4,6,0.0,1,1,1,True,,False,,799.9973754882812,1066.6632080078125,yolov11n/conv11,4,0,1,0.7585775,0,16,0.6839987635612488,0.45129814743995667,0.6372539097530678,6,10240,yolov11n_context_0,False,0.0008576125,0,157286400.0,4096,8,-0.5615938901901245,7.862314701080322,-0.5564536452293396,0.7482163310050964,-0.2820439636707306,4.213031768798828,8,8,16,0.6839987635612488,1.0,1.0,0.9316594469194605,1.0,0.6372539097530678,False,True,False
conv12,conv,80,80,128,128,3,3,2,2,conv11,conv_feature_splitter3_1 conv_feature_splitter3_2,147584.0,236134400,,1939.73,206214,184320,23.0,8.0,8.0,128,4,10.0,,1,1,1,False,,False,combined (SPATIAL_W),6666.645050048828,1333.3290100097656,,20.0,0.0,8.0,0.7593625,0,128,0.8881644321524579,0.24808336235582829,0.696166330038334,183.0,24576,yolov11n_context_0,False,0.000875835,0,471859200,10240,8,-0.2820439636707306,4.213031768798828,-0.30900806188583374,0.29849642515182495,-0.2987005114555359,4.779208183288574,8,4,8,0.9283939531216935,1.0,1.0,0.8294179185911372,0.8695652173913043,0.7701082066868576,False,False,False
conv_feature_splitter3_1,conv,40,40,64,128,1,1,1,1,conv12,concat4,8256.0,13209600.0,,1800.33,222181,204800.0,1,1,1,64,8,1,0.0,1,1,1,False,,False,,266.6658020019531,133.33290100097656,yolov11n/conv_feature_splitter3_1,1,0,1,0.7555275,0,64,0.9289723038673401,0.057610686868429184,0.847481966148143,64,512,yolov11n_context_0,False,0.000889735,0,26214400.0,0,8,-0.2987005114555359,4.779208183288574,-0.6290436387062073,0.8117978572845459,-0.29623252153396606,5.514482021331787,8,8,16,0.9289723038673401,1.0,1.0,0.91227904494036,1.0,0.847481966148143,False,False,True
