model_name,scs,l3_weight_cuts,l3_output_cuts,lcus,weights,ops_per_image,macs_per_image,total_4bit_macs_per_frame,pure_ops_per_image,pure_macs_per_image,power,fps,subclusters_per_target,l3_cuts_per_target,layers_per_target,l2_cuts_per_target_normalized,l2_cuts_used_normalized,profiling_mode,layers,l3_total_cuts,net_input_throughput,gross_input_throughput,net_output_throughput,gross_output_throughput,latency,input_aligners,input_aligners_per_target,apus,apus_per_target,l4_cuts,l4_cuts_per_target,l2_weights,l2_data_usage,l2_cuts_per_target,number_of_devices,number_of_contexts,calibration,transpose,resize_input,normalization,input_conversion,nms,optimization_level,compression_level,compression_rate,hw_arch,stream_fps,optimization_goal_fps,context_switch_configs,l2_cut_size,l3_cut_size,l4_cut_size
yolov11n,432,355,501,180,2582784.0,6378483200.0,3205745600.0,0.0,6376844800.0,3204926400.0,,N/A,512,1024,128,256.0,216.0,post_placement,141,856,115.87 Megabytes/sec,255.87 Megabytes/sec,52.28 Megabytes/sec,187.45 Megabytes/sec,N/A,200,256,180,160,0,28,65792,808064,512,2,3,64,False,False,True,False,True,2,0,N/A,hailo8,,,3225600.00,16384.0,32768.0,131072.0

context_name,csw_scs_mac_util,b8_csw_scs_mac_util, ,lcu_util,l3_util,mapping_util,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,scs_mac_util, ,fps,1/fps (s),drain (s),latency_util,b8_latency_util, ,context_overhead,overhead_util,b8_overhead_util,total_mac_util,b8_total_mac_util,boundary_in_bytes,boundary_out_bytes,inter_context_in_bytes,inter_context_out_bytes,ddr_portals_in_bytes,ddr_portals_out_bytes
contexts_total,0.06952634260167315,0.1319723806896665,,,,0.31604505625188933,0.745867185032473,0.9509240735327884,0.9805976553307796,0.7649974043482934,0.8917064280072525,0.5375485752687718,0.15139814008753597,,98.87154092798835,0.01011413386111111,N/A,0.4592285120641121,0.8716908980081406,,0.0032147,0.5398101378622723,0.831757273480784,0.037531024584868754,0.10976898753720507,1228800.0,554400.0,1484800.0,1433600.0,0.0,0.0
yolov11n_context_0,0.0635341281203904,0.12639210359221428,,0.59375,0.384765625,0.345703125,0.6483412775933481,0.9694245819830332,0.9850744440730136,0.7342588887281517,0.9096045197740112,0.46810273622712106,0.14719636822766893,,1267.370902431451,0.0007890350000000001,0.0010390075,0.43162836750239675,0.8586631933521849,,0.00064952,,,,,1228800.0,0.0,0.0,1152000.0,0.0,0.0
yolov11n_context_1,0.08133302621718806,0.15532690442355604,,0.6015625,0.3251953125,0.3203125,0.8550340152407655,0.9658749109190742,0.9778088805459276,0.7946258841385823,0.8719512195121951,0.639211449051289,0.17852976018424674,,1362.9595303241458,0.0007336975,0.0008768024999999999,0.45557125116423475,0.8700336810134913,,0.00066286,,,,,0.0,524800.0,1203200.0,281600.0,0.0,0.0
yolov11n_context_2,0.04527305363322417,0.06705478838648692,,0.2109375,0.1259765625,0.177734375,0.7848238174794446,0.7417164391199356,0.9706475270881484,0.7638881368918806,0.9340659340659341,0.43371638650691213,0.07200369697868658,,4785.37589127626,0.00020897,0.0001233825,0.6287601266727345,0.9312686875832977,,0.00190232,,,,,0.0,29600.0,281600.0,0.0,0.0,0.0

layer_name,layer_type,input_height,input_width,output_channels,input_channels,kernel_height,kernel_width,strides_row,strides_col,predecessors,successors,weights,macs,power,fps,total cycles,theoretical cycles,scs,apus,input_aligners,of_per_sc,of_per_mac,l3_output_cuts,l2_weights_usage_ratio,groups,dilation_height,dilation_width,16x4_configuration,elementwise_feed_repeat,ew_add_enabled,defuse_mode,node_layer_input_bw,node_layer_output_bw,defuse_name,l3_weight_cuts,l4_cuts,lcus,node_layer_latency,deprecated,output_features_per_sc,mac_computation_utilization,apu_activation_utilization,subcluster_utilization,buffers_num,buffer_size,context,did_reach_fps,latency,l2_weights,ops,l2_data_usage,input_activation_bits,input_range_min,input_range_max,kernel_range_min,kernel_range_max,output_range_min,output_range_max,output_activation_bits,weights_bits,bias_bits,active_mac_util,width_align_util,feature_align_util,balance_fps_util,mac_layers_util,effective_mac_util,is_4bit_enhanced,is_smuffer_in,is_smuffer_out
conv7,conv,160,160,64,64,3,3,2,2,conv6,conv_feature_splitter2_1 conv_feature_splitter2_2,36928.0,236339200,,1287.91,310581,138240,33.0,5.0,5.0,64,1,5.0,,1,1,1,False,,False,combined (SPATIAL_W),8461.57632446289,2076.46044921875,,32.0,0.0,5.0,0.7736275,0,64,0.463119595339804,0.14898095801472663,0.36242967415675387,87.0,10240,yolov11n_context_0,False,0.00082218,0,471859200,10240,8,-0.3187088370323181,19.998979568481445,-0.3163759112358093,0.3169853389263153,-0.3204972743988037,11.35476016998291,8,8,16,0.4598917500043061,1.0,1.0,0.8003644792357969,0.9696969696969697,0.3686861179279579,False,False,False
conv_feature_splitter2_1,conv,80,80,32,64,1,1,1,1,conv7,concat2,2080.0,13312000.0,,1750.54,228501,204800.0,1,1,1,32,4,1,0.0,1,1,1,False,,False,,519.1151123046875,259.55755615234375,yolov11n/conv_feature_splitter2_1,1,0,1,0.77085,0,32,0.9102804660797119,0.11203452199697495,0.6590328590610056,12,2560,yolov11n_context_0,False,0.0008293175,0,26214400.0,512,8,-0.3204972743988037,11.35476016998291,-0.7864628434181213,0.9130107164382935,-0.41147303581237793,7.65972900390625,8,8,16,0.9102804660797119,1.0,1.0,0.7239887964412224,1.0,0.6590328590610056,False,False,False
conv_feature_splitter2_2,conv,80,80,32,64,1,1,1,1,conv7,conv9 ew_add2 concat2,2080.0,13312000.0,,1750.54,228501,204800.0,1,1,1,32,4,3,0.0,1,1,1,False,,False,,519.1151123046875,259.55755615234375,yolov11n/conv_feature_splitter2_2,1,0,1,0.77085,0,32,0.9102804660797119,0.11203452199697495,0.6590328590610056,36,2560,yolov11n_context_0,False,0.0008293175,0,26214400.0,512,8,-0.3204972743988037,11.35476016998291,-0.5136592388153076,0.5336325168609619,-0.3175380825996399,5.911093235015869,8,8,16,0.9102804660797119,1.0,1.0,0.7239887964412224,1.0,0.6590328590610056,False,False,False
conv9,conv,80,80,16,32,3,3,1,1,conv_feature_splitter2_2,conv10,4624.0,29593600.0,,1491.96,268103,230400.0,2,1,1,8,1,1,0.0,1,1,1,False,,False,,259.55755615234375,129.77877807617188,yolov11n/conv9,2,0,1,0.779845,0,8,0.8838767409324646,0.04774284362792969,0.7508222254849801,255,128,yolov11n_context_0,False,0.00084545,0,58982400.0,5120,8,-0.3175380825996399,5.911093235015869,-0.4834718406200409,0.5006062984466553,-0.27916330099105835,8.61916732788086,8,8,16,0.8838767409324646,1.0,1.0,0.8494648526364482,1.0,0.7508222254849801,False,False,True
conv10,conv,80,80,32,16,3,3,1,1,conv9,ew_add2,4640.0,29696000.0,,1418.14,282059,230400.0,2,1,2,16,2,1,0.0,1,1,1,True,,False,,129.77877807617188,259.55755615234375,yolov11n/conv10,1,0,1,0.7809475,0,16,0.8430151343345642,0.09076115489006042,0.753388651248908,12,2560,yolov11n_context_0,False,0.0008570625,0,58982400.0,15360,8,-0.27916330099105835,8.61916732788086,-0.5071760416030884,0.5256519913673401,-0.2795351445674896,8.630647659301758,8,8,16,0.8430151343345642,1.0,1.0,0.8936834234222816,1.0,0.753388651248908,False,True,False
ew_add2,ew_add,80,80,32,32,,,,,conv_feature_splitter2_2 conv10,concat2,0,102400.0,,5074.92,78819,,1,1,1,32,0,1,0.0,,,,False,,False,,259.55755615234375,0.0,yolov11n/ew_add2,1,0,1,0.7635149999999999,0,32,0.6495895385742188,0.3247947692871094,0.16222346867021534,12,2560,yolov11n_context_0,False,0.0008595225,0,204800.0,0,8,N/A,N/A,N/A,N/A,-0.6163654327392578,11.473878860473633,8,8,16,0.6495895385742188,1.0,1.0,0.24973226789686134,1.0,0.16222346867021534,False,False,False
concat2,concat,80|80|80,80|80|80,96,32|32|32,,,,,conv_feature_splitter2_1 conv_feature_splitter2_2 ew_add2,conv11,0,0,,4515.13,88591,,1,1,1,96,0,1,1,,,,False,,False,,259.55755615234375,0.0,yolov11n/concat2,0,0,1,0.7702899999999999,0,96,0.8669052124023438,0.8669052124023438,0.24333521222739177,42,768,yolov11n_context_0,False,0.0008687575,0,0,0,8,-0.41147303581237793,7.65972900390625,N/A,N/A,-0.6163654327392578,11.473878860473633,8,8,8,0.8669052124023438,1.0,1.0,0.2806941390432617,0.0,0.24333521222739177,False,False,True
conv11,conv,80,80,128,96,1,1,1,1,concat2,conv12 concat11,12416.0,79462400.0,,1289.24,310261,204800.0,6,1,2,24,6,8,0.0,1,1,1,True,,False,,778.6726684570312,1168.0089111328125,yolov11n/conv11,3,0,1,0.77584,0,22,0.7503359913825989,0.37130028009414673,0.7376098494438031,8,11520,yolov11n_context_0,False,0.000874585,0,157286400.0,4608,8,-0.6163654327392578,11.473878860473633,-0.5564536452293396,0.7482163310050964,-0.30341705679893494,9.368001937866211,8,8,16,0.7503359913825989,1.0,0.8888888888888888,0.983039408898211,1.0,0.6556531995056026,False,True,False
conv12,conv,80,80,128,128,3,3,2,2,conv11,conv_feature_splitter3_1 conv_feature_splitter3_2,147584.0,236134400,,1582.65,252740,184320,25.0,4.0,4.0,128,2,7.0,,1,1,1,False,,False,combined (SPATIAL_W),3218.5136947631836,778.6726684570312,,24.0,0.0,4.0,0.77532,0,128,0.7496436929702759,0.14281877968460321,0.47865051522432583,68.0,10240,yolov11n_context_0,False,0.0008876025,0,471859200,10240,8,-0.30341705679893494,9.368001937866211,-0.30900806188583374,0.29849642515182495,-0.29488232731819153,9.1044921875,8,8,16,0.7602199992599763,1.0,1.0,0.6496509718350392,0.96,0.4952146309347987,False,False,False
conv_feature_splitter3_1,conv,40,40,64,128,1,1,1,1,conv12,concat4,8256.0,13209600.0,,1800.33,222181,204800.0,1,1,1,64,8,1,0.0,1,1,1,False,,False,,259.55755615234375,129.77877807617188,yolov11n/conv_feature_splitter3_1,1,0,1,0.7700899999999999,0,64,0.9289723038673401,0.057610686868429184,0.6539633712241836,64,512,yolov11n_context_0,False,0.0009015025,0,26214400.0,0,8,-0.29488232731819153,9.1044921875,-0.6290436387062073,0.8117978572845459,-0.3710734248161316,10.14267349243164,8,8,16,0.9289723038673401,1.0,1.0,0.7039643361828055,1.0,0.6539633712241836,False,False,True
